case_id,menu_name,allergies,ground_truth,ai_prediction,confidence,status,is_correct,reason
1,ผัดไทยกุ้งสด,"กุ้ง, ถั่วลิสง",True,True,90.46%,ALLERGY_WARN,True,มีกุ้งสดและถั่วลิสงคั่วเป็นส่วนผสมหลัก
2,ส้มตำไทย,ปู,False,False,73.11%,MANUAL_REVIEW,True,ส้มตำไทยปกติไม่มีปูเป็นส่วนผสม
3,ข้าวมันไก่,นม,False,False,88.08%,SAFE,True,ไม่มีผลิตภัณฑ์จากนมเป็นส่วนผสม
4,สปาเก็ตตี้คาโบนาร่า,"นม, ไข่",True,True,90.47%,ALLERGY_WARN,True,มีชีสซึ่งทำจากนม และมีไข่ไก่เป็นส่วนผสมพื้นฐาน
5,ต้มยำกุ้งน้ำข้น,"กุ้ง, นม",True,True,92.41%,ALLERGY_WARN,True,มีกุ้งเป็นวัตถุดิบหลักและใช้นมข้นจืดในการทำน้ำข้น
6,แกงเขียวหวานไก่,นม,False,False,67.92%,MANUAL_REVIEW,True,ใช้กะทิซึ่งเป็นพืช ไม่ใช่นมวัว
7,พิซซ่าฮาวายเอี้ยน,แป้งสาลี,True,True,92.41%,ALLERGY_WARN,True,แป้งพิซซ่าทำมาจากแป้งสาลี
8,ยำวุ้นเส้นทะเล,ปลาหมึก,True,True,95.26%,ALLERGY_WARN,True,มีปลาหมึกเป็นส่วนผสมในหมวดอาหารทะเล
9,ข้าวผัดหมู,กุ้ง,False,False,88.08%,SAFE,True,เป็นข้าวผัดเนื้อหมู ไม่มีกุ้งเป็นส่วนผสม
10,ซุปเห็ดทรัฟเฟิล,นม,True,True,93.99%,ALLERGY_WARN,True,ครีมสดและเนยจัดเป็นผลิตภัณฑ์ที่ทำมาจากนม
11,สเต็กปลาแซลมอน,ปลา,True,True,96.27%,ALLERGY_WARN,True,เนื้อปลาแซลมอนคือปลา
12,หมูสเต๊ะ,ถั่วลิสง,True,True,93.99%,ALLERGY_WARN,True,น้ำจิ้มหมูสเต๊ะมีส่วนผสมหลักคือถั่วลิสงคั่ว
13,แซนวิชทูน่า,แป้งสาลี,True,True,93.99%,ALLERGY_WARN,True,ขนมปังโฮลวีทมีส่วนผสมของแป้งสาลี
14,กะเพราเนื้อสับ,ไข่,False,False,85.20%,SAFE,True,เมนูนี้ไม่มีไข่เป็นส่วนผสม (ไม่รวมกรณีสั่งไข่ดาวเพิ่ม)
15,ข้าวซอยไก่,แป้งสาลี,True,True,92.41%,ALLERGY_WARN,True,เส้นบะหมี่ไข่มีส่วนประกอบของแป้งสาลี
16,สลัดไก่ย่าง,กุ้ง,False,False,77.73%,MANUAL_REVIEW,True,เป็นสลัดไก่ ไม่มีส่วนผสมของกุ้ง
17,แฮมเบอร์เกอร์เนื้อ,นม,True,True,97.07%,ALLERGY_WARN,True,มีชีสแผ่นซึ่งทำจากนมเป็นส่วนผสม
18,ผัดซีอิ๊วหมู,ไข่,True,True,97.70%,ALLERGY_WARN,True,มีการผัดไข่ไก่ลงไปคลุกเคล้ากับเส้น
19,ซูชิหน้าปลาไหล,ปลาหมึก,False,False,81.76%,SAFE,True,เป็นหน้าปลาไหล ไม่มีปลาหมึก
20,ปูผัดผงกะหรี่,"ปู, ไข่",True,True,88.08%,ALLERGY_WARN,True,มีปูม้าเป็นเนื้อสัตว์หลักและใช้ไข่ไก่ในการทำน้ำซอสผงกะหรี่
21,กุ้งแช่น้ำปลา,กุ้ง,True,True,96.27%,ALLERGY_WARN,True,กุ้งสดเป็นวัตถุดิบหลักของเมนูนี้
22,ต้มข่าไก่,นม,False,False,77.73%,MANUAL_REVIEW,True,เมนูนี้ใช้กะทิจากมะพร้าว ไม่ได้มีส่วนผสมของนมวัว
23,หอยนางรมทรงเครื่อง,หอย,True,True,90.47%,ALLERGY_WARN,True,หอยนางรมสดจัดอยู่ในหมวดสัตว์ทะเลประเภทหอย
24,แกงเผ็ดเป็ดย่าง,กุ้ง,True,False,85.20%,SAFE,False,พริกแกงเผ็ดโดยทั่วไปมีส่วนผสมของกะปิที่ทำมาจากกุ้ง
25,ไก่ผัดเม็ดมะม่วงหิมพานต์,ถั่วเปลือกแข็ง,True,True,88.08%,ALLERGY_WARN,True,มีเม็ดมะม่วงหิมพานต์ซึ่งเป็นถั่วเปลือกแข็ง
26,ปลากะพงทอดน้ำปลา,ปลา,True,True,93.99%,ALLERGY_WARN,True,ปลากะพงเป็นปลา
27,คอหมูย่าง,นม,True,True,96.27%,ALLERGY_WARN,True,สูตรคอหมูย่างส่วนใหญ่ใช้นมข้นจืดในการหมักเพื่อให้เนื้อนุ่ม
28,ลาบหมู,แป้งสาลี,False,False,88.08%,SAFE,True,เมนูลาบหมูไม่มีส่วนประกอบของแป้งสาลี
